DATE,TIME,NO_BOAT
24AUG16,9:00,3
24AUG16,10:00,49
24AUG16,10:30,56
24AUG16,11:00,65
24AUG16,11:30,40
24AUG16,12:00,21
24AUG16,12:35,11
24AUG16,13:00,5
25AUG16,9:15,25
25AUG16,9:30,50
25AUG16,10:00,72
25AUG16,10:30,10
25AUG16,11:00,30
25AUG16,11:30,5
25AUG16,13:00,2
25AUG16,13:30,2
25AUG16,14:00,1
26AUG16,8:30,8
26AUG16,8:45,12
26AUG16,9:00,20
26AUG16,9:15,35
26AUG16,9:30,48
26AUG16,9:45,58
26AUG16,10:00,72
26AUG16,10:15,75
26AUG16,11:15,17
26AUG16,11:30,13
26AUG16,11:45,5
26AUG16,12:00,3
26AUG16,12:15,2
26AUG16,12:30,1
27AUG16,8:30,7
27AUG16,8:45,12
27AUG16,9:00,27
27AUG16,9:15,31
27AUG16,9:30,47
27AUG16,9:45,65
27AUG16,10:00,71
27AUG16,10:15,75
27AUG16,10:30,68
27AUG16,10:45,66
27AUG16,11:00,53
27AUG16,11:15,39
27AUG16,11:30,25
27AUG16,11:45,8
27AUG16,12:00,5
27AUG16,12:15,2
27AUG16,12:30,3
27AUG16,12:45,3
27AUG16,13:00,2
28AUG16,7:30,44
28AUG16,7:45,1
28AUG16,8:15,5
28AUG16,8:30,6
28AUG16,9:00,8
28AUG16,9:15,16
28AUG16,9:45,65
28AUG16,10:00,76
28AUG16,10:15,79
28AUG16,10:30,82
28AUG16,10:45,78
28AUG16,11:00,54
28AUG16,11:15,42
28AUG16,11:30,28
28AUG16,11:45,25
28AUG16,12:00,16
28AUG16,12:15,7
28AUG16,12:30,4
28AUG16,12:45,3